id,type_code,type_description,name,postcode,land_area,area_derivation,st_area_shape_,st_perimeter_shape_,object_id
"1132","152",Postal Locality,GOLDEN BAY,"6174",4571329.914,CO,6437329.2836797,10194.7416174117,"1132"
"1133","152",Postal Locality,AMELUP,"6338",402248441.173,CO,590556425.882585,140017.386415362,"1133"
"1134","152",Postal Locality,WARNBRO,"6169",11689706.028,CO,16430042.1427416,17926.572771346,"1134"
"1135","152",Postal Locality,THORNLIE,"6108",11544872.554,CO,16130135.7847159,18208.5422620456,"1135"
"1136","152",Postal Locality,MUNDARING,"6073",31710027.289,CO,44061845.9482222,38774.5232877326,"1136"
"1137","152",Postal Locality,WELSHPOOL,"6106",8332355.981,CO,11624760.0624281,19149.1737061633,"1137"
"1138","152",Postal Locality,KALBARRI NATIONAL PARK,"6536",1807344576.303,CO,2313270221.67736,266015.257782858,"1138"
"1139","152",Postal Locality,MOUNT TARCOOLA,"6530",2223963.374,CO,2904977.63925644,8847.87637375851,"1139"
"1140","152",Postal Locality,PAULLS VALLEY,"6076",20295936.543,CO,28296376.2682812,28128.7011529456,"1140"
"1141","152",Postal Locality,NICKOL,"6714",2971621.502,CO,3414848.16219239,7860.14171211364,"1141"
"1142","152",Postal Locality,BULLSBROOK,"6084",253754376.549,CO,351539077.070026,102405.572660279,"1142"
"1143","152",Postal Locality,DURACK,"6743",29213672020.401,CO,31935005593.229,1194441.0316519,"1143"
"1144","152",Postal Locality,NORTH KUNUNOPPIN,"6489",330870290.162,CO,452292996.934279,98610.4623657984,"1144"
"1145","152",Postal Locality,BEECHBORO,"6063",4845228.035,CO,6741687.57363418,12266.805967892,"1145"
"1146","152",Postal Locality,GLEN FORREST,"6071",13149453.665,CO,18317450.9943929,20796.9615005998,"1146"
"1147","152",Postal Locality,BENCUBBIN,"6477",688029948.187,CO,935704589.323409,151214.083589514,"1147"
"1148","152",Postal Locality,JIGALONG,"6753",111568140.814,AN,132980057.663399,52442.3137662679,"1148"
"1149","152",Postal Locality,GINGIN,"6503",9447566.796,CO,12994265.9729387,18538.0186583058,"1149"
"1150","152",Postal Locality,GRANVILLE,"6503",44767454.805,CO,62599204.2584414,40467.3633997064,"1150"
"1151","152",Postal Locality,BALGA,"6061",5218482.63,CO,7258481.42659845,11675.9386952422,"1151"
"1152","152",Postal Locality,BURSWOOD,"6100",3369108.871,CO,4683895.79692014,11101.6415138768,"1152"
"1153","152",Postal Locality,MEDA,"6728",4334549018.275,CO,4678885138.06195,560162.821420416,"1153"
"1154","152",Postal Locality,GINGINUP,"6503",72201059.644,CO,98103898.1521356,49768.8370638363,"1154"
"1155","152",Postal Locality,DEWARS POOL,"6567",86720158.039,CO,118965611.768754,95937.8319716188,"1155"
"1156","152",Postal Locality,CULHAM,"6566",90657858.3,CO,124948407.415911,64940.6593325176,"1156"
"1157","152",Postal Locality,PINGARING,"6357",877579465.071,CO,1241985223.40407,199560.800738683,"1157"
"1158","152",Postal Locality,JILAKIN,"6365",589233212.908,CO,834604039.791731,143136.539393027,"1158"
"1159","152",Postal Locality,PIARA WATERS,"6112",6683701.758,CO,9352982.43365546,13697.843705143,"1159"
"1160","152",Postal Locality,COWARAMUP,"6284",95804630.482,CO,139311121.319924,65785.7443853482,"1160"
"1161","152",Postal Locality,BRAMLEY,"6285",50418417.498,CO,73383232.8728611,49239.0449976144,"1161"
"1162","152",Postal Locality,BREERA,"6503",54987369.254,CO,75768361.9891487,35692.3367271405,"1162"
"1163","152",Postal Locality,MURDONG,"6317",78031602.123,CO,113184109.032203,54638.277999671,"1163"
"1164","152",Postal Locality,WAGERUP,"6215",154887827.964,CO,220370433.774342,111941.474093136,"1164"
"1165","152",Postal Locality,LOWDEN,"6240",44711220.265,CO,64519070.519697,46814.5209938337,"1165"
"1166","152",Postal Locality,OAKLEY,"6208",50615891.772,CO,71636600.8267254,40529.8048766478,"1166"
"1167","152",Postal Locality,KIMBOLTON,"6728",6907174633.108,SM,7560931679.11228,2758285.51437706,"1167"
"1168","152",Postal Locality,YABBERUP,"6239",68625790.472,CO,98994695.238015,61925.677583251,"1168"
"1169","152",Postal Locality,COLLINGWOOD PARK,"6330",2146077.474,CO,3205976.8873736,7846.24661108329,"1169"
"1170","152",Postal Locality,PINJARRA,"6208",29859163.943,CO,42627301.4757201,34186.844955765,"1170"
"1171","152",Postal Locality,HILBERT,"6112",9091664.872,CO,12734293.0251682,20672.2683748872,"1171"
"1172","152",Postal Locality,THE VINES,"6069",9306783.248,CO,9090280.90187273,14667.0874959334,"1172"
"1173","152",Postal Locality,MOONDAH,"6503",42368683.802,CO,58272287.2337763,39737.4658672578,"1173"
"1174","152",Postal Locality,ELLENBROOK,"6069",17794082.309,CO,18241171.5442197,29375.2030444042,"1174"
"1175","152",Postal Locality,LITTLE GROVE,"6330",3991448.621,CO,5972222.46507027,11354.0636033309,"1175"
"1176","152",Postal Locality,TORNDIRRUP,"6330",50483030.267,CO,74421141.5723196,87233.2901093645,"1176"
"1177","152",Postal Locality,TAPPING,"6065",3461957.205,CO,4801206.93679707,9094.88563937905,"1177"
"1178","152",Postal Locality,KAURING,"6302",79638186.216,CO,110860353.62475,68737.8617449277,"1178"
"1179","152",Postal Locality,MULLALOO,"6027",3131758.331,CO,4351553.49031881,9221.52536297884,"1179"
"1180","152",Postal Locality,BELDON,"6027",2155767.729,CO,2993221.26372089,8056.4666349311,"1180"
"1181","152",Postal Locality,BINDOON,"6502",329988720.499,CO,454069598.876122,134754.376341504,"1181"
"1182","152",Postal Locality,MOOLIABEENEE,"6504",106029209.872,CO,145696175.362298,58579.9681176333,"1182"
"1183","152",Postal Locality,MELVILLE,"6156",2441637.541,CO,3409434.28331842,7745.86925473412,"1183"
"1184","152",Postal Locality,CULLALLA,"6503",119584747.178,CO,164041250.547139,62377.5430841501,"1184"
"1185","152",Postal Locality,SOUTH PERTH,"6151",5201823.071,CO,7254743.55850215,14300.1408321818,"1185"
"1186","152",Postal Locality,COCKLEBIDDY,"6443",8765218035.646,CO,12162600367.6492,513424.344470749,"1186"
"1187","152",Postal Locality,HOPE VALLEY,"6165",13262948.712,CO,18588580.7438582,18879.5574631645,"1187"
"1188","152",Postal Locality,MYAREE,"6154",1337339.97,CO,1866706.05858267,6578.17530942099,"1188"
"1189","152",Postal Locality,MARNE,"6608",79617916.606,CO,107649879.323485,57563.8238041574,"1189"
"1190","152",Postal Locality,BALLIDU,"6606",8506431.906,CO,11519641.2685836,15490.4288008864,"1190"
"1191","152",Postal Locality,EAST BALLIDU,"6606",429922832.751,CO,581678012.431772,119389.45076205,"1191"
"1192","152",Postal Locality,MOUNT CLAREMONT,"6010",4320783.047,CO,6020909.95305924,14074.2349454961,"1192"
"1193","152",Postal Locality,WEST BALLIDU,"6606",343257933.11,CO,464947767.75943,100649.645791503,"1193"
"1194","152",Postal Locality,MUMBALLUP,"6225",40603672.526,CO,58562769.4172906,44012.0275374419,"1194"
"1195","152",Postal Locality,SOUTH KUMMININ,"6368",939657382.363,CO,1316484395.92957,184740.526509381,"1195"
"1196","152",Postal Locality,WADDERIN,"6369",671311688.931,CO,936489945.79707,157049.013366464,"1196"
"1197","152",Postal Locality,BABAKIN,"6428",381508285.686,CO,533920162.268949,130631.044489379,"1197"
"1198","152",Postal Locality,BUTLER,"6036",5308955.485,CO,7684285.85900193,11205.594121907,"1198"
"1199","152",Postal Locality,ARDATH,"6419",358173233.075,CO,499911058.599207,114156.87096764,"1199"
"1200","152",Postal Locality,GLEN MERVYN,"6239",37824475.324,CO,54582503.7562673,41677.8425041779,"1200"
"1201","152",Postal Locality,PRESTON SETTLEMENT,"6225",42593445.837,CO,61300588.5755825,33216.3836739866,"1201"
"1202","152",Postal Locality,COLLIE,"6225",53412496.662,CO,76769218.1857264,46319.0315435803,"1202"
"1203","152",Postal Locality,WEST LEEDERVILLE,"6007",1470311.445,CO,2048779.1546226,7961.90876848347,"1203"
"1204","152",Postal Locality,CARDIFF,"6225",171004557.032,CO,246603081.711884,79272.0703527949,"1204"
"1205","152",Postal Locality,BEDFORD,"6052",2343086.795,CO,3250567.66700063,8901.54174327836,"1205"
"1206","152",Postal Locality,COTTESLOE,"6011",3817642.889,CO,5349701.98392561,12293.7948142502,"1206"
"1207","152",Postal Locality,GOOMARIN,"6415",277844936.417,CO,381107483.981017,79839.1035692915,"1207"
"1208","152",Postal Locality,FOREST GROVE,"6286",127866738.962,CO,186904913.898555,90622.8491123387,"1208"
"1209","152",Postal Locality,YILKARI,"6430",66749362.238,CO,90806641.687162,44065.4061717647,"1209"
"1210","152",Postal Locality,WEST KALGOORLIE,"6430",2047526.207,CO,2782941.46036565,7424.30832590038,"1210"
"1211","152",Postal Locality,BINDULI,"6430",10431409.498,CO,14183249.9051131,20174.9884637596,"1211"
"1212","152",Postal Locality,KARLKURLA,"6430",40464733.109,CO,54953625.4551902,39891.8344212112,"1212"
"1213","152",Postal Locality,SANDY GULLY,"6535",286357544.808,CO,369996490.253065,118768.346890781,"1213"
"1214","152",Postal Locality,NAMBEELUP,"6207",76617602.966,CO,108030320.228686,48747.5646507808,"1214"
"1215","152",Postal Locality,HICKETY,"6532",38123495.236,CO,49495737.2610474,39889.1258649802,"1215"
"1216","152",Postal Locality,STAKE HILL,"6181",18386777.236,CO,25912997.3521484,28252.7149992499,"1216"
"1217","152",Postal Locality,SINAGRA,"6065",2117880,CO,2938611.24514023,7421.69189511165,"1217"
"1218","152",Postal Locality,KOONDOOLA,"6064",3502865.693,CO,4870863.10407616,8935.11420083296,"1218"
"1219","152",Postal Locality,MONJINGUP,"6450",182445808.105,CO,264815480.604321,85722.7621981724,"1219"
"1220","152",Postal Locality,NABAWA,"6532",96697713.139,CO,125662602.262141,63487.6515097286,"1220"
"1221","152",Postal Locality,BOWES,"6535",222809255.157,CO,288935078.773411,112317.863290585,"1221"
"1222","152",Postal Locality,DALE,"6304",399943163.262,CO,560572033.776345,129919.878056974,"1222"
"1223","152",Postal Locality,DARDANUP,"6236",6971251.303,CO,10030067.2047978,16777.1743007731,"1223"
"1224","152",Postal Locality,CROOKED BROOK,"6236",105626779.37,CO,152274757.503196,77867.3813569874,"1224"
"1225","152",Postal Locality,JELCOBINE,"6306",520777245.333,CO,733392396.617854,146716.388841795,"1225"
"1226","152",Postal Locality,MOUNT ADAMS,"6525",293275273.483,CO,387447857.958089,105743.566607683,"1226"
"1227","152",Postal Locality,YARDARINO,"6525",234306296.113,CO,308494902.856736,93005.6020227133,"1227"
"1228","152",Postal Locality,BALKULING,"6383",82302433.866,CO,114644696.685998,53151.6100245828,"1228"
"1229","152",Postal Locality,DARDADINE,"6392",70057715.116,CO,100402152.581294,66106.5668830433,"1229"
"1230","152",Postal Locality,BUREKUP,"6227",40447696.101,CO,58042987.5889993,40647.7820520028,"1230"
"1231","152",Postal Locality,HENTY,"6236",39450085.856,CO,56724416.5915551,34429.6255203746,"1231"
"1232","152",Postal Locality,WATERLOO,"6228",31635537.181,CO,45433982.6230885,31334.5086777377,"1232"
"1233","152",Postal Locality,ROELANDS,"6226",94983114.056,CO,136385717.896903,85924.2321836331,"1233"
"1234","152",Postal Locality,WELLESLEY,"6233",49964017.343,CO,71464367.0991206,50935.9327031507,"1234"
"1235","152",Postal Locality,KUNDAT DJARU,"6770",34973317.616,AN,39268330.780793,25126.3859138265,"1235"
"1236","152",Postal Locality,STURT CREEK,"6770",21157612937.17,CO,23864434282.211,1273806.54480208,"1236"
"1237","152",Postal Locality,EAST BEVERLEY,"6304",254255334.227,CO,354997871.547832,96637.6578061662,"1237"
"1238","152",Postal Locality,WHITEMAN,"6068",28216501.384,CO,38464771.2007466,25565.4181675941,"1238"
